1,TCP,"TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA, but by design only TCP is specified."
5,TCP,"Remote Job Entry was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5 and IANA has assigned both TCP and UDP 5 to it."
7,TCP,Echo Protocol
9,TCP,Discard Protocol
11,TCP,Active Users (systat service)
13,TCP,Daytime Protocol
15,TCP,Previously netstat service
17,TCP,Quote of the Day (QOTD)
18,TCP,Message Send Protocol
19,TCP,Character Generator Protocol (CHARGEN)
20,TCP,File Transfer Protocol (FTP) data transfer
21,TCP,File Transfer Protocol (FTP) control (command)
22,TCP,"Secure Shell (SSH), secure logins, file transfers (scp, sftp) and port forwarding"
23,TCP,Telnet protocol—unencrypted text communications
25,TCP,"Simple Mail Transfer Protocol (SMTP), used for email routing between mail servers"
28,TCP,Palo Alto Networks' Panorama High Availability (HA) sync encrypted port.
37,TCP,Time Protocol
42,TCP,Host Name Server Protocol
43,TCP,WHOIS protocol
49,TCP,"TACACS Login Host protocol. TACACS+, still in draft which is an improved but distinct version of TACACS, only uses TCP 49."
52,TCP,"Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP."
53,TCP,Domain Name System (DNS)
54,TCP,"Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP."
56,TCP,"Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP."
58,TCP,"Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP."
67,TCP,Bootstrap Protocol (BOOTP) server; also used by Dynamic Host Configuration Protocol (DHCP)
68,TCP,Bootstrap Protocol (BOOTP) client; also used by Dynamic Host Configuration Protocol (DHCP)
69,TCP,Trivial File Transfer Protocol (TFTP)
70,TCP,Gopher protocol
71,TCP,NETRJS protocol
72,TCP,NETRJS protocol
73,TCP,NETRJS protocol
74,TCP,NETRJS protocol
79,TCP,Finger protocol
80,TCP,"Hypertext Transfer Protocol (HTTP) uses TCP in versions 1.x and 2. HTTP/3 uses QUIC, a transport protocol on top of UDP."
81,TCP,TorPark onion routing
83,TCP,"MIT ML Device, networking file system"
88,TCP,Kerberos authentication system
90,TCP,PointCast (dotcom)
95,TCP,"SUPDUP, terminal-independent remote login"
101,TCP,NIC host name
102,TCP,ISO Transport Service Access Point (TSAP) Class 0 protocol;
104,TCP,Digital Imaging and Communications in Medicine (DICOM; also port 11112)
105,TCP,CCSO Nameserver
106,TCP,"macOS Server, (macOS) password server"
